model,param,coef,std_err,t,pvalue,n_obs,r2
M1w_cost_task_policy_fe,C(task_id)[T.mfg-015],0.04708751939493679,0.013088178265313832,3.5977137872371205,0.00032102659929149395,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-016],0.054973720108812414,0.00830297820956194,6.620964034989656,3.568637975386391e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-017],0.05532780252660378,0.009958900621889205,5.555613478559653,2.7663842073550195e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-018],0.05573893684519405,0.0066385907888470855,8.396200130129447,4.611593795199295e-17,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-019],0.04071667270404773,0.010801986715030576,3.7693688927974653,0.00016366084978290378,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-020],0.0459572236491121,0.012040556312814922,3.8168687936951238,0.00013515599572909323,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-021],0.05905920751440133,0.00668873861411457,8.829647998170335,1.0500565897592228e-18,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-022],0.04677496115350027,0.012199865536144912,3.834055466834341,0.0001260476989463431,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-023],0.05744386166045785,0.007426398666552969,7.735089945975247,1.0333002358968125e-14,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-024],0.05819797339926208,0.0098285441778402,5.921321850541954,3.1936414003310883e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-025],0.044860931625765384,0.012504653308039591,3.5875390161295426,0.0003338137944461409,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-026],0.047138293785018034,0.0074892380429780235,6.294137469594163,3.0911379669076434e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-027],0.04471470631909918,0.01198638486097842,3.7304580853788156,0.00019113194004652097,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-028],0.04497069262995565,0.012905022869938363,3.4847433501813265,0.0004926092928033869,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-029],0.0591169694416975,0.007764332167762833,7.613915551829245,2.6591457479656508e-14,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.mfg-030],0.05972753019292295,0.0072822134732932415,8.201837313883676,2.3674053884707193e-16,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-001],0.035991253513234955,0.006691241151217575,5.378860617911789,7.495871172017116e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-002],0.027630396480394098,0.008919595912966958,3.0977184112372305,0.00195016633155666,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-003],0.036225474538635415,0.006644006643733688,5.452353749947189,4.970744883839536e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-004],0.04117466212489444,0.007520485025218679,5.475000879174967,4.375094389193753e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-005],0.037719186122564974,0.007044129292404519,5.354698154566312,8.569935787883861e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-006],0.04483978574708658,0.006024870950293596,7.442447500871617,9.883674322225077e-14,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-007],0.0381161276933332,0.007015545513116704,5.4330953483330555,5.538479355396142e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-008],0.03925621679125652,0.006416517323304107,6.117994359445135,9.476042025527975e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-009],0.03838153223373462,0.006774792222502797,5.665344555697002,1.4672938994453718e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-010],0.04244965400888456,0.006161631439973954,6.889352993996019,5.604670834574112e-12,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-011],0.03253050493762998,0.00682678744507251,4.765126378895844,1.8873531626553147e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-012],0.043262598149553626,0.006307404488660369,6.859017560603946,6.933571660652841e-12,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-013],0.038413621101403714,0.006582670175627967,5.835568253689571,5.360754585146006e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-014],0.04339161355343941,0.006252970746653755,6.939359755786512,3.938809180153941e-12,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-015],0.03033328660261255,0.0062477371666053595,4.855083655686786,1.2033593173351054e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-016],0.0363942382252653,0.008920470373596952,4.079856409028155,4.5063528302287014e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-017],0.040472000217908366,0.007378682618224206,5.484989978827491,4.134928570305806e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-018],0.04158800752910842,0.006360017728412617,6.538976667206285,6.194118679293901e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-019],0.04297501033036961,0.006194987966763888,6.9370611469998895,4.003405799124072e-12,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-020],0.03370013942109659,0.007577849871233544,4.447190165250765,8.700081399574663e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-021],0.040359970819767776,0.006430358866360382,6.276472535756273,3.4634052920510885e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-022],0.04060559057755986,0.006428148131819823,6.316841140694796,2.6696375327183953e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-023],0.03508433845002598,0.0074205771251423394,4.72797975930383,2.267647837557096e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-024],0.03866604778770687,0.0064337936598819565,6.009836471568827,1.8571055314840348e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-025],0.03639958678934308,0.00807535576350527,4.507490178184188,6.559896631098166e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-026],0.03308225051955541,0.008220117045826146,4.024547379937039,5.7085000795549864e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-027],0.027059099715706567,0.005745887220666977,4.709298786509349,2.485704644861447e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-028],0.04428812582973935,0.006120557340669313,7.235962897603739,4.622376901337191e-13,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-029],0.03716717314323992,0.00660356648056895,5.62834844664692,1.8194326091105774e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-030],0.03578662760787514,0.00718085158607914,4.983618889610725,6.240593911645197e-07,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-031],0.03305269925724442,0.00778398572460523,4.2462435603863735,2.1738432077267554e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-032],0.04184674568463266,0.006517962802324859,6.420218548916321,1.3607884076672267e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-033],0.03740617976160964,0.006405153785973881,5.840012747784816,5.219682811501797e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-034],0.026231558550067924,0.009491543003325971,2.7636769428190986,0.005715409475117397,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-035],0.02885797818084858,0.009393002037557606,3.0722848845833224,0.0021242688195198464,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-036],0.04184603747528707,0.006374882473627594,6.564205324317893,5.231108048516959e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-037],0.02770303521010823,0.00684472255344372,4.047356922622125,5.179922482288702e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-038],0.03430152210824342,0.008356442144276938,4.104799807862661,4.046651576096564e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-039],0.03870010730689682,0.006192180197589626,6.249835449226955,4.108853475178192e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-040],0.03742111421389613,0.0060424350885093245,6.193051917935946,5.901028069997452e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-041],0.036775110267527486,0.007215633119211844,5.096588152412105,3.458295631395633e-07,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-042],0.03478438978676534,0.006985445302691821,4.979552237473147,6.373154980484255e-07,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-043],0.04023062960676211,0.006243906606618937,6.443182472350738,1.169938925264429e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-044],0.043372883282105326,0.006067175504866853,7.148776765615776,8.75545774443923e-13,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-045],0.044925280357087954,0.00581329841603365,7.728018956188384,1.0923308237904885e-14,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-046],0.034637327301620856,0.0081893288961687,4.229568471456264,2.341400078358375e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-047],0.04056401201964021,0.006215279476987051,6.526498473613968,6.732500259926093e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-048],0.03221227726587754,0.010767558070208792,2.9916046940114542,0.002775153621883445,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-049],0.040635839951156806,0.006024714100841869,6.744857809182766,1.5317695849114782e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-050],0.03814409197132806,0.005758270815249319,6.624226820022621,3.490704177732544e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-051],0.03831010812529412,0.00876283435475127,4.371885462438544,1.2317814462004242e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-052],0.04286395092941973,0.00672620449249949,6.372680309856484,1.857528295578619e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-053],0.031729564892293526,0.009895814527580439,3.2063621244982565,0.0013442470600258365,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-054],0.03856129019674334,0.006333591950302864,6.088376153582075,1.1406163497605895e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-055],0.04560707053013226,0.006516652978031975,6.998542147921088,2.586395584246413e-12,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-056],0.03598210433989402,0.009530636262505922,3.775414709870915,0.00015974167637748614,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-057],0.041486109619519596,0.0075401318732780005,5.502040324592348,3.754210576418058e-08,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-058],0.040964356291165877,0.007112741370595716,5.759292255516803,8.446734520139789e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-059],0.03454196546575938,0.009883391218682683,3.4949507412460132,0.00047414925406096524,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-060],0.04096144474310785,0.007722975628426214,5.303842290054587,1.1339028460528261e-07,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-061],0.04183778802899345,0.006836173190374433,6.120059697712529,9.354030661398307e-10,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-062],0.03445402483268135,0.010058709433637299,3.4252927833329943,0.0006141372104812757,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-063],0.0422936879054572,0.007195677283909782,5.877652128734275,4.161262396836981e-09,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-064],0.037354832330991405,0.008715420861346765,4.286061789243198,1.8186842239828358e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-065],0.02937872170464431,0.011863945431589482,2.476302834841029,0.013275092451638474,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-066],0.03905802057666954,0.008090987618401985,4.827348949074738,1.383625605530762e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-067],0.040871158736140126,0.00838571038130217,4.873905355385464,1.0941342327693961e-06,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-068],0.041081197873422653,0.006297731229217919,6.523174200072096,6.883483731040511e-11,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-069],0.03874799212691035,0.010904474907671933,3.553402841951508,0.00038028163925707046,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(task_id)[T.ps-070],0.03683461277847991,0.008571823065174799,4.2971737165376,1.7298962408304806e-05,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(policy_id)[T.pl_deepseek_pro],2.5208488539118235,0.002600471830910177,969.3813345517051,0.0,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(policy_id)[T.pl_glm_47],2.0389232203655276,0.0031714510026931457,642.8991709580588,0.0,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(policy_id)[T.pl_glm_47_flashx],0.3272847387548908,0.0028082548039854594,116.54381870562818,0.0,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(policy_id)[T.pl_spark_max],0.0019323599804664873,0.002262830081412879,0.8539571735143052,0.39312871904325863,1267,0.9998328230976583
M1w_cost_task_policy_fe,C(policy_id)[T.pl_spark_ultra],1.769313365950789,0.002240805156039776,789.5882250992921,0.0,1267,0.9998328230976583
M1w_cost_task_policy_fe,log_tokens,1.0795292814656927,0.0024800534765702185,435.28467900564146,0.0,1267,0.9998328230976583
M2w_quality_task_fe,Intercept,-0.3861201937748657,0.7795070581641628,-0.49533893212490904,0.6203608936961592,1239,0.7388720940666602
M2w_quality_task_fe,C(task_id)[T.ceval-002],3.838114478414785,1.3073552384222915,2.9357854434779322,0.003327043546129335,1239,0.7388720940666602
M2w_quality_task_fe,C(task_id)[T.ceval-003],2.8221891583388916,1.6418885315811411,1.7188676965915093,0.08563846536782291,1239,0.7388720940666602
M2w_quality_task_fe,C(task_id)[T.ceval-004],2.445878093723499,1.3320656765713463,1.8361542803347626,0.06633484228891405,1239,0.7388720940666602
M2w_quality_task_fe,C(task_id)[T.ceval-005],4.449892514374251,2.062168071594887,2.157870920255637,0.03093786897935725,1239,0.7388720940666602
M2w_quality_task_fe,C(task_id)[T.ceval-006],2.327876857086703,1.1807797542116194,1.9714742302987531,0.04866965776715974,1239,0.7388720940666602
